rainfall_mm,drainage_capacity_score,elevation_m,population_density,past_flood_events,flood_risk_score
334.76999071078626,36.0475976662849,22.81221020010662,12778.902765973213,4,21.725158388311936
290.3214989180171,70.55767978751464,25.59269415718761,17889.704382168053,5,22.546123918673228
345.33819766704846,70.4025575582252,19.369334775990627,31181.907514538056,5,26.648474878094394
406.6120899485618,64.8803343019708,28.718034057397098,30258.00700375426,3,25.175065054328073
283.60926376936646,68.576391112697,11.54095490340091,10583.042535388318,2,4.092147494750738
283.6104130135574,57.99071103433173,20.643261466070427,29079.299293871314,1,1.3909245737120681
410.5448970855174,37.625934123486694,43.7764928934115,18745.60660213678,2,17.276101323020562
353.7204310407036,44.19871954527436,15.325337308045102,19489.06616256066,1,18.405415121969053
267.1367929845534,32.7118401760998,31.269466581651688,9004.399172478314,2,8.790349612877275
337.9792030510175,83.59153929335397,18.007602568987796,7418.04541271374,1,0.0
267.56076150312765,60.837425633628435,35.93892502746402,26838.179209212954,3,11.778899933868018
267.39891725008204,48.05959917345479,10.234946428733993,19893.83457065899,3,20.914327626602258
316.9373590096224,52.340406255089285,43.79284180314179,18105.521078455386,6,25.26195374761787
166.07038287395414,86.30983377282708,23.15158165534557,26885.2468595719,5,15.028124281219716
179.2557517240877,30.734598218125612,14.442018533858558,27965.386969733292,6,28.19899056453346
260.6398729531319,61.036088241175804,7.939869893200506,9767.245030080607,1,2.210677560419927
229.10182157659034,55.41220752191262,11.790316203501629,23306.754484329238,2,11.52860596350832
321.99731328166916,62.801796480425345,25.790957942240706,9060.622468330566,4,13.460702230787536
236.43831471351524,21.267712867458837,18.48012705725145,27541.25258087137,2,17.767550856058232
201.1387409065296,81.0486736260906,38.15533463530438,24708.654688014187,1,0.0
402.5954138245088,85.24827977385287,22.235500946472236,33698.438632503734,4,21.41502089428133
284.1956589659425,59.55932285124462,14.948570903505196,7068.740490692635,4,15.350493545771538
304.72697432815465,68.76555767138245,29.685799464161203,6711.641634537629,1,6.228700937183713
200.267626965058,84.5749566824107,33.27108867541783,13465.612240796005,4,8.857242808369648
261.8932092832372,69.5067044019379,11.681676316037994,12851.17051207718,3,3.159508257263318
307.7645812796906,30.677733003998295,11.704768651532707,12409.363972159994,1,16.012134430953935
219.4304495804388,60.340185211676925,6.466857077341719,32187.6374156311,2,6.043720058715705
326.298861284197,62.470053246799914,34.45608060262562,12486.385995485183,1,3.597592870313173
257.95529170568363,49.68914699116702,31.552181104872204,13158.49178385893,2,12.037081300466692
